"SuccessRateMapCode","SuccessRateMapCodeDesc","SuccessRateMapCodeDesc2","EffectiveFrom","EffectiveTo"
"B1230240","GCE AS Level Danish Language","GCE AS Lev Danish Lang","24 Jul 2006",""
"B1230241","GCE AS Level Dutch","GCE AS Lev Dutch","24 Jul 2006",""
"B1230242","GCE AS Level English","GCE AS Lev Eng","24 Jul 2006",""
"B1230243","GCE AS Level English Language & Literature","GCE AS Lev Eng Lang & Lit","24 Jul 2006",""
"B1230244","GCE AS Level English Literature","GCE AS Lev Eng Lit","24 Jul 2006",""
"B1230245","GCE AS Level Europe: Languages: General/Business","GCE AS Lev Euro Lang Gen/ Bus","24 Jul 2006",""
"B1230246","GCE AS Level French","GCE AS Lev French","24 Jul 2006",""
"B1230247","GCE AS Level Frisian Language","GCE AS Lev Frisian Lang","24 Jul 2006",""
"B1230248","GCE AS Level German","GCE AS Lev German","24 Jul 2006",""
"B1230249","GCE AS Level Classical Greek","GCE AS Lev Class Greek","24 Jul 2006",""
"B1230250","GCE AS Level Gujarati","GCE AS Lev Gujarati","24 Jul 2006",""
"B1230251","GCE AS Level Modern Hebrew","GCE AS Lev Mdm Hebrew","24 Jul 2006",""
"B1230252","GCE AS Level Hindi","GCE AS Lev Hindi","24 Jul 2006",""
"B1230253","GCE AS Level Indic/Dravidian Languages","GCE AS Lev Indic/ Dravidian Lang","24 Jul 2006",""
"B1230254","GCE AS Level International Artificial Languages","GCE AS Lev Int Artificial Lang","24 Jul 2006",""
"B1230255","GCE AS Level Italian","GCE AS Lev Italian","24 Jul 2006",""
"B1230256","GCE AS Level Japanese","GCE AS Lev Japanese","24 Jul 2006",""
"B1230257","GCE AS Level Language Studies (General)","GCE AS Lev Lang Stud (Gen)","24 Jul 2006",""
"B1230258","GCE AS Level Latin","GCE AS Lev Latin","24 Jul 2006",""
"B1230259","GCE AS Level Linguistic Studies","GCE AS Lev Ling Stud","24 Jul 2006",""
"B1230260","GCE AS Level Literature","GCE AS Lev Lit","24 Jul 2006",""
"B1230261","GCE AS Level Lithuanian Languages","GCE AS Lev Lithuanian Lang","24 Jul 2006",""
"B1230262","GCE AS Level Malayo-Polynesian/Indonesian Languages","GCE AS Lev Malayo-Polyn/ Indo Lang","24 Jul 2006",""
"B1230263","GCE AS Level Middle East Languages","GCE AS Lev Mid E Lang","24 Jul 2006",""
"B1230264","GCE AS Level Moldavian Language","GCE AS Lev Moldavian Lang","24 Jul 2006",""
"B1230265","GCE AS Level Nordic (North Germanic) Languages","GCE AS Lev Nordic (North Germanic) Lang","24 Jul 2006",""
"B1230266","GCE AS Level Persian","GCE AS Lev Persian","24 Jul 2006",""
"B1230267","GCE AS Level Polish","GCE AS Lev Polish","24 Jul 2006",""
"B1230268","GCE AS Level Portuguese","GCE AS Lev Portuguese","24 Jul 2006",""
"B1230269","GCE AS Level Punjabi","GCE AS Lev Punjabi","24 Jul 2006",""
"B1230270","GCE AS Level Rhaetian Languages","GCE AS Lev Rhaetian Lang","24 Jul 2006",""
"B1230271","GCE AS Level Romanian Language","GCE AS Lev Romanian Lang","24 Jul 2006",""
"B1230272","GCE AS Level Romany Languages","GCE AS Lev Romany Lang","24 Jul 2006",""
"B1230273","GCE AS Level Russian","GCE AS Lev Russ","24 Jul 2006",""
"B1230274","GCE AS Level South East Asian Languages","GCE AS Lev S E Asian Lang","24 Jul 2006",""
"B1230275","GCE AS Level South Slavic Languages","GCE AS Lev S Slavic Lang","24 Jul 2006",""
"B1230276","GCE AS Level Spanish","GCE AS Lev Spanish","24 Jul 2006",""
"B1230277","GCE AS Level Swedish Language","GCE AS Lev Swedish Lang","24 Jul 2006",""
"B1230278","GCE AS Level Tibetan/Burmese/Himalayan Languages","GCE AS Lev Tibetan/ Burmese/ Hmlyn Lang","24 Jul 2006",""
"B1230279","GCE AS Level Turkish","GCE AS Lev Turkish","24 Jul 2006",""
"B1230280","GCE AS Level Ukrainian (Ruthenian/Little Russian) Language","GCE AS Lev Ukrain (Ruthn/ Lit Russ) Lang","24 Jul 2006",""
"B1230281","GCE AS Level Uralian/Caucasian Languages","GCE AS Lev Uralian/ Caucasian Lang","24 Jul 2006",""
"B1230282","GCE AS Level Urdu","GCE AS Lev Urdu","24 Jul 2006",""
"B1230283","GCE AS Level Welsh","GCE AS Lev Welsh","24 Jul 2006",""
"B1230284","GCE AS Level","GCE AS Lev","24 Jul 2006","30 Sep 2014"
"B1230396","GCE A Level Bahasa Melayu (Brunei)","GCE A Lev Bahasa Melayu (Brunei)","24 Jul 2006",""
"B1230397","GCE A Level Czechoslovakian","GCE A Lev Czechoslovakian","24 Jul 2006",""
"B1230398","GCE A Level General Studies Scheme 2 Italian","GCE A Lev Gen Stud Scheme 2 Italian","24 Jul 2006",""
"B1230399","GCE A Level General Studies Scheme 2 Punjabi","GCE A Lev Gen Stud Scheme 2 Punjabi","24 Jul 2006",""
"B1230400","GCE A Level General Studies Scheme 2 Spanish","GCE A Lev Gen Stud Scheme 2 Spanish","24 Jul 2006",""
"B1230401","GCE A Level General Studies Scheme II French","GCE A Lev Gen Stud Scheme II French","24 Jul 2006",""
"B1230402","GCE A Level General Studies Scheme II German","GCE A Lev Gen Stud Scheme II German","24 Jul 2006",""
"B1230404","GCE A Level Spoken English","GCE A Lev Spoken Eng","24 Jul 2006",""
"B1230406","GCE A2 Level in Biblical Hebrew","GCE A2 Lev in Biblical Hebrew","24 Jul 2006",""
"B1230410","GCE AS Level in Applied Welsh Second Language (Single Award)","GCE AS Lev in Applied Welsh 2nd Lang (Single Award)","24 Jul 2006",""
"B1230411","GCE AS Level Spoken English (Optional Test)","GCE AS Lev Spoken Eng (Optional Test)","24 Jul 2006",""
"B1230470","GCE AS Level in Classical Civilisation","GCE AS Lev in Class Civilisation","01 Sep 2007",""
"B1230471","GCE A Level in Cymraeg Ail Iaith","GCE A Lev in Cymraeg Ail Iaith","11 Dec 2008",""
"B1230472","GCE AS Level in Classics","GCE AS Lev in Classics","11 Dec 2008",""
"B1230473","GCE AS Level in Cymraeg Ail Iaith","GCE AS Lev in Cymraeg Ail Iaith","11 Dec 2008",""
"B1230474","GCE A Level in Classical Civilisation","GCE A Lev in Class Civilisation","11 Dec 2008",""
"B1230475","GCE A Level in Classics","GCE A Lev in Classics","11 Dec 2008",""
"B1230476","GCE A Level in English Language","GCE A Lev in Eng Lang","11 Dec 2008",""
"B1230477","GCE A2 Level in Classics","GCE A2 Lev in Classics","11 Sep 2009",""
"B1230478","GCE A2 Level in Cymraeg Ail Iaith","GCE A2 Lev in Cymraeg Ail Iaith","11 Sep 2009",""
"B1230479","GCE A2 Level in Cymraeg Iaith Gyntaf","GCE A2 Lev in Cymraeg Iaith Gyntaf","11 Sep 2009",""
"B1230480","GCE A2 Level in Greek","GCE A2 Lev in Greek","11 Sep 2009",""
"B1230481","Progression Diploma in Langauages and International Communication (14-19 Diploma)","Prg Dip Langauages & Int Comm (14-19 Dip)","01 Nov 2010",""
"B1230482","Principal Learning in Langauages and International Communication (14-19 Diploma)","Principal Lrn in Langauages & Int Comm (14-19 Dip)","01 Nov 2010",""
"B1230483","Advanced Diploma in Langauages and International Communication (14-19 Diploma)","Adv Dip Langauages & Int Comm (14-19 Dip)","01 Nov 2010",""
"B1230484","GCE AS Level in Irish","GCE AS Lev in Irish","01 Aug 2010",""
"B1230485","GCE A2 Level in Irish","GCE A2 Lev in Irish","01 Aug 2010",""
"B12E7001","Award in English (QCF)","","01 Aug 2015",""
"B1320045","GCSE Education/Training/Teaching","GCSE Ed/ Trn/ Tchg","24 Jul 2006",""
"B1320046","GCSE Home Economics: Child Development","GCSE Home Econ Child Dev","24 Jul 2006",""
"B1320120","GCSE HE: Child Development","GCSE HE Child Dev","24 Jul 2006",""
"B1320121","GCSE Outdoor Education 37703","GCSE Outdoor Ed 37703","24 Jul 2006",""
"B1330223","GCE A Level Education/Training/Teaching","GCE A Lev Ed/ Trn/ Tchg","24 Jul 2006",""
"B1410042","Certificate in Adult Literacy","Cert in Adlt Lit","24 Jul 2006",""
"B1410046","Certificate in Adult Numeracy","Cert in Adlt Num","24 Jul 2006",""
"B1410063","Certificate in ESOL Skills for Life","Cert in ESOLSkl for Life","24 Jul 2006",""
"B1410095","Basic ESOL Course, Level 1","Basic ESOL Course, Lev 1","24 Jul 2006",""
"B1410102","Certificate in Business English (ESOL)","Cert in Bus Eng (ESOL)","24 Jul 2006",""
"B1410127","Key Skills - Application of Number - Entry level","KeySkl App of Num Entry Lev","24 Jul 2006",""
"B1410129","Key Skills - Communication - level 1","KeySkl Comm Lev 1","24 Jul 2006",""
"B1410130","Key Skills in Improving Own Learning and Performance","KeySkl in Improving Own Lrn & Perf","24 Jul 2006",""
"B1410132","Key Skills in Information and Communication Technology - Level 1","KeySkl in Info & Comm Tech Lev 1","24 Jul 2006",""
"B1410133","Key Skills in Problem Solving","KeySkl in Prob Solving","24 Jul 2006",""
"B1410136","Key Skills - Working with Others - level 1","KeySkl Wrk with Oths Lev 1","24 Jul 2006",""
"B1410138","Key Skills L2","KeySkl L2","24 Jul 2006",""
"B1410152","Long Term Residential College, Adult Literacy","Long Term Residential College, Adlt Lit","24 Jul 2006",""
"B1410153","Long Term Residential College, Adult Numeracy","Long Term Residential College, Adlt Num","24 Jul 2006",""
"B1410154","Long Term Residential College, ESOL","Long Term Residential College, ESOL","24 Jul 2006",""
"B1410164","Online - National Test in Adult Literacy","Online Nat Test in Adlt Lit","24 Jul 2006",""
"B1410165","Online - National Test in Adult Numeracy","Online Nat Test in Adlt Num","24 Jul 2006",""
"B1410300","Certificate in ESOL Skills for Life (Speaking and Listening)","Cert in ESOLSkl for Life (Speaking & Listening)","11 Dec 2007",""
"B1410301","Award in Functional Skills English (Level 1) (14-19 Diploma)","Award in FunctionalSkl Eng (Lev 1) (14-19 Dip)","11 Sep 2009",""
"B1410302","Award in Functional Skills Information and Communication Technology (Level 1) (14-19 Diploma)","Award in FunctionalSkl Info & Comm Tech (Lev 1) (14-19 Dip)","11 Sep 2009",""
"B1410303","Award in Functional Skills Mathematics (Level 1) (14-19 Diploma)","Award in FunctionalSkl Maths (Lev 1) (14-19 Dip)","11 Sep 2009",""
"B1410304","Foundation Project (14-19 Diploma)","Fnd Proj (14-19 Dip)","11 Sep 2009",""
"B1410305","Certificate in ESOL for Work","Cert in ESOL for Wrk","11 Sep 2009",""
"B1410306","Key Skills - Application of Number - Level 1","KeySkl App of Num Lev 1","11 Sep 2009","24 Sep 2009"
"B1417001","Award in English (QCF)","","01 Aug 2015",""
"B1417002","Award in Maths (QCF)","","01 Aug 2015",""
"B1418001","Certificate in English (QCF)","","01 Aug 2015",""
"B1418002","Certificate in Maths (QCF)","","01 Aug 2015",""
"B1420025","Certificate in Adult Literacy","Cert in Adlt Lit","24 Jul 2006",""
"B1420027","Certificate in Adult Numeracy","Cert in Adlt Num","24 Jul 2006",""
"B1420035","Certificate in ESOL Skills for Life (Speaking and Listening)","Cert in ESOLSkl for Life (Speaking & Listening)","24 Jul 2006",""
"B1420050","Certificate in English (ESOL)","Cert in Eng (ESOL)","24 Jul 2006",""
"B1420066","Certificate in ESOL Skills for Life","Cert in ESOLSkl for Life","24 Jul 2006",""
"B1420067","Certificate in Integrated Skills in English","Cert in IntgdSkl in Eng","24 Jul 2006",""
"B1420071","Certificate in Business English (ESOL)","Cert in Bus Eng (ESOL)","24 Jul 2006",""
"B1420079","GCSE Money Management","GCSE Money Mngm","24 Jul 2006",""
"B1420080","GCSE Personal and Social Education","GCSE Pers & Soc Ed","24 Jul 2006",""
"B1420081","GCSE General Studies","GCSE Gen Stud","24 Jul 2006",""
"B1420082","GCSE Home Economics: Home Studies","GCSE Home Econ Home Stud","24 Jul 2006",""
"B1420083","GCSE Pre-Vocational Studies","GCSE Pre-Voc Stud","24 Jul 2006",""
"B1420084","GCSE Personal and Social Education","GCSE Pers & Soc Ed","24 Jul 2006",""
"B1420085","GCSE","GCSE","24 Jul 2006","30 Sep 2014"
"B1420103","Key Skills - Application of Number - level 2","KeySkl App of Num Lev 2","24 Jul 2006",""
"B1420104","Key Skills - Communication - level 2","KeySkl Comm Lev 2","24 Jul 2006",""
"B1420105","Key Skills - Improving Own Learning and Performance - level 2","KeySkl Improving Own Lrn & Perf Lev 2","24 Jul 2006",""
"B1420106","Key Skills in Information and Communication Technology - Level 2","KeySkl in Info & Comm Tech Lev 2","24 Jul 2006",""
"B1420107","Key Skills - Problem Solving - level 2","KeySkl Prob Solving Lev 2","24 Jul 2006",""
"B1420108","Key Skills - Working with Others - level 2","KeySkl Wrk with Oths Lev 2","24 Jul 2006",""
"B1420114","Long Term Residential College, Adult Literacy","Long Term Residential College, Adlt Lit","24 Jul 2006",""
"B1420115","Long Term Residential College, Adult Numeracy","Long Term Residential College, Adlt Num","24 Jul 2006",""
"B1420116","Long Term Residential College, ESOL","Long Term Residential College, ESOL","24 Jul 2006",""
"B1420124","National Test in Adult Literacy","Nat Test in Adlt Lit","24 Jul 2006",""
"B1420125","Paper - National Test in Adult Numeracy","Paper Nat Test in Adlt Num","24 Jul 2006",""
"B1420144","GCSE Citizenship Studies","GCSE Citizenship Stud","24 Jul 2006",""
"B1420173","GCSE Integrated General Studies: Life Skills","GCSE Intgd Gen Stud LifeSkl","24 Jul 2006",""
"B1420174","GCSE Integrated General Studies: Personal Skills","GCSE Intgd Gen Stud PersSkl","24 Jul 2006",""
"B1420175","GCSE Personal Presentation","GCSE Pers Pres","24 Jul 2006",""
"B1420176","GCSE Pre-Vocational and Practical Studies (20675)","GCSE Pre-Voc & Practical Stud (20675)","24 Jul 2006",""
"B1420177","GCSE Social Education","GCSE Soc Ed","24 Jul 2006",""
"B1420209","GCSE in Humanities","GCSE in Hmnt","11 Dec 2008",""
"B1420210","Award in Functional Skills English (Level 2) (14-19 Diploma)","Award in FunctionalSkl Eng (Lev 2) (14-19 Dip)","11 Sep 2009",""
"B1420211","Award in Functional Skills Information and Communication Technology (Level 2) (14-19 Diploma)","Award in FunctionalSkl Info & Comm Tech (Lev 2) (14-19 Dip)","11 Sep 2009",""
"B1420212","Award in Functional Skills Mathematics (Level 2) (14-19 Diploma)","Award in FunctionalSkl Maths (Lev 2) (14-19 Dip)","11 Sep 2009",""
"B1420213","Higher Project (14-19 Diploma)","Hi Proj (14-19 Dip)","11 Sep 2009",""
"B1420214","Project (14-19 Diploma)","Proj (14-19 Dip)","11 Sep 2009",""
"B1427001","Award in English (QCF)","","01 Aug 2015",""
"B1427002","Award in Maths (QCF)","","01 Aug 2015",""
"B1428001","Certificate in English (QCF)","","01 Aug 2015",""
"B1428002","Certificate in Maths (QCF)","","01 Aug 2015",""
"B1430116","GCE A Level General Studies","GCE A Lev Gen Stud","24 Jul 2006",""
"B1430126","Key Skills - Application of Number - level 3","KeySkl App of Num Lev 3","24 Jul 2006",""
"B1430127","Key Skills - Communication - level 3","KeySkl Comm Lev 3","24 Jul 2006",""
"B1430128","Key Skills - Improving Own Learning and Performance - level 3","KeySkl Improving Own Lrn & Perf Lev 3","24 Jul 2006",""
"B1430129","Key Skills in Information and Communication Technology - Level 3","KeySkl in Info & Comm Tech Lev 3","24 Jul 2006",""
"B1430130","Key Skills - Problem Solving - level 3","KeySkl Prob Solving Lev 3","24 Jul 2006",""
"B1430131","Key Skills - Working with Others - level 3","KeySkl Wrk with Oths Lev 3","24 Jul 2006",""
"B1430183","GCE A Level","GCE A Lev","24 Jul 2006","30 Sep 2014"
"B1430186","GCE A2 Level","GCE A2 Lev","24 Jul 2006","30 Sep 2014"
"B1430188","GCE AS Level","GCE AS Lev","24 Jul 2006","30 Sep 2014"
"B1430206","GCE AS Level in General Studies","GCE AS Lev in Gen Stud","11 Dec 2008",""
"B1430207","Extended Project (14-19 Diploma)","Ext Proj (14-19 Dip)","11 Sep 2009",""
"B1430208","GCE AS Level in Global Development","GCE AS Lev in Global Dev","01 Jul 2012",""
"B1440009","Key Skills - Application of Number - level 4","KeySkl App of Num Lev 4","24 Jul 2006",""
"B1440010","Key Skills - Communication - level 4","KeySkl Comm Lev 4","24 Jul 2006",""
"B1440011","Key Skills - Improving Own Learning and Performance - level 4","KeySkl Improving Own Lrn & Perf Lev 4","24 Jul 2006",""
"B1440012","Key Skills in Information and Communication Technology - Level 4","KeySkl in Info & Comm Tech Lev 4","24 Jul 2006",""
"B1440013","Key Skills in Problem Solving","KeySkl in Prob Solving","24 Jul 2006",""
"B1440014","Key Skills - Working with Others - level 4","KeySkl Wrk with Oths Lev 4","24 Jul 2006",""
"B1450007","Key Skills - Working with Others - level 5","KeySkl Wrk with Oths Lev 5","24 Jul 2006",""
"B1450008","Key Skills - Application of Number - level 5","KeySkl App of Num Lev 5","24 Jul 2006",""
"B1450009","Key Skills - Communication - level 5","KeySkl Comm Lev 5","24 Jul 2006",""
"B1450010","Key Skills - Improving Own Learning and Performance - level 5","KeySkl Improving Own Lrn & Perf Lev 5","24 Jul 2006",""
"B1450011","Key Skills - Information Technology - level 5","KeySkl Info Tech Lev 5","24 Jul 2006",""
"B14E0038","Certificate in Adult Literacy","Cert in Adlt Lit","24 Jul 2006",""
"B14E0039","Certificate in Adult Numeracy","Cert in Adlt Num","24 Jul 2006",""
"B14E0040","Certificate in ESOL Skills for Life (Speaking and Listening)","Cert in ESOLSkl for Life (Speaking & Listening)","24 Jul 2006",""
"B14E0084","Certificate in Adult Numeracy","Cert in Adlt Num","24 Jul 2006",""
"B14E0094","Certificate in Business English (ESOL)","Cert in Bus Eng (ESOL)","24 Jul 2006",""
"B14E0102","Certificate in ESOL Skills for Life","Cert in ESOLSkl for Life","24 Jul 2006",""
"B14E0103","Certificate in English (ESOL)","Cert in Eng (ESOL)","24 Jul 2006",""
"B14E0135","Long Term Residential College, Adult Literacy","Long Term Residential College, Adlt Lit","24 Jul 2006",""
"B14E0136","Long Term Residential College, Adult Numeracy","Long Term Residential College, Adlt Num","24 Jul 2006",""
"B14E0137","Long Term Residential College, ESOL","Long Term Residential College, ESOL","24 Jul 2006",""
"B14E0401","Award in Functional Skills English (Entry) (14-19 Diploma)","Award in FunctionalSkl Eng (Entry) (14-19 Dip)","11 Sep 2009",""
"B14E0402","Award in Functional Skills Information and Communication Technology (Entry) (14-19 Diploma)","Award in FunctionalSkl Info & Comm Tech (Entry) (14-19 Dip)","11 Sep 2009",""
"B14E0403","Award in Functional Skills Mathematics (Entry) (14-19 Diploma)","Award in FunctionalSkl Maths (Entry) (14-19 Dip)","11 Sep 2009",""
"B14E0404","Certificate in ESOL for Work (Entry 3)","Cert in ESOL for Wrk (Entry 3)","11 Sep 2009",""
"B14E0405","Award in Functional Skills English (Entry 2 and 3) (14-19 Diploma)","Award in FunctionalSkl Eng (Entry 2 & 3) (14-19 Dip)","11 Sep 2009",""
"B14E0406","Award in Functional Skills Information and Communication Technology (Entry 2 and 3) (14-19 Diploma)","Award in FunctionalSkl Info & Comm Tech (Entry 2 & 3)(14-19)","11 Sep 2009",""
"B14E0407","Certificate In Adult Literacy Entry Level 3","Cert In Adlt Lit Entry Lev 3","22 Oct 2009",""
"B14E0408","Certificate In Adult Numeracy Entry Level 3","Cert In Adlt Num Entry Lev 3","22 Oct 2009",""
"B14E7001","Award in English (QCF)","","01 Aug 2015",""
"B14E7002","Award in Maths (QCF)","","01 Aug 2015",""
"B14E8001","Certificate in English (QCF)","","01 Aug 2015",""
"B14E8002","Certificate in Maths (QCF)","","01 Aug 2015",""
"B14E8003","Award in Functional Skills Mathematics (Entry 2 and 3) (14-19 Diploma)","","01 Aug 2016",""
"B14H0004","Key Skills - Working with Others - level 5","KeySkl Wrk with Oths Lev 5","24 Jul 2006",""
"B14H0011","Key Skills - Application of Number - level 4","KeySkl App of Num Lev 4","24 Jul 2006",""
"B14H0013","Key Skills - Communication - level 4","KeySkl Comm Lev 4","24 Jul 2006",""
"B14H0014","Key Skills - Improving Own Learning and Performance - level 4","KeySkl Improving Own Lrn & Perf Lev 4","24 Jul 2006",""
"B14H0016","Key Skills - Information Technology - level 4","KeySkl Info Tech Lev 4","24 Jul 2006",""
"B14H0017","Key Skills - Working with Others - level 4","KeySkl Wrk with Oths Lev 4","24 Jul 2006",""
"B14M0011","Key Skills - Problem Solving - level 1","KeySkl Prob Solving Lev 1","24 Jul 2006",""
"B14M0012","Key Skills - Problem Solving - level 2","KeySkl Prob Solving Lev 2","24 Jul 2006",""
"B14M0013","Key Skills - Problem Solving - level 3","KeySkl Prob Solving Lev 3","24 Jul 2006",""
"B14X0218","Diagnostic - Basic Skills (BRKLD)","Diagnostic Bsc Skl (BRKLD)","24 Jul 2006",""
"B14X0219","Diagnostic Test in Literacy, 3 glh","Diagnostic Test in Lit, 3 glh","24 Jul 2006",""
"B14X0221","Diagnostic Test in Numeracy, 3 glh","Diagnostic Test in Num, 3 glh","24 Jul 2006",""
"B14X0269","Diagnostic - Basic Skills ESOL","Diagnostic Bsc Skl ESOL","24 Jul 2006",""
"B14X0437","Key Skills - Problem Solving - level 5","KeySkl Prob Solving Lev 5","24 Jul 2006",""
"B14X0438","Key Skills Units (Use code for individual Unit/level as appropriate)","KeySkl Units (Use code for individual Unit/ Lev as approp","24 Jul 2006",""
"B1510124","Key Skills - Problem Solving - level 1","KeySkl Prob Solving Lev 1","24 Jul 2006",""
"B1510233","Principal Learning in Business, Administration and Finance (Level 1) (14-19 Diploma)","Principal Lrn in Bus, Admin & Fin (Lev 1) (14-19 Dip)","24 Sep 2009",""
"B1510234","Foundation Diploma in Business, Administration and Finance (14-19 Diploma)","Fnd Dip Bus, Admin & Fin (14-19 Dip)","01 Sep 2010",""
"B1520216","GCSE Accounting","GCSE Accnt","24 Jul 2006",""
"B1520217","GCSE Applied Business (Double Award)","GCSE Applied Bus (Double Award)","24 Jul 2006",""
"B1520218","GCSE Business and Communication Systems","GCSE Bus & Comm Sys","24 Jul 2006",""
"B1520219","GCSE Business Studies","GCSE Bus Stud","24 Jul 2006",""
"B1520220","GCSE Principles of Accounts","GCSE Principles of Accs","24 Jul 2006",""
"B1520222","GCSE Home Economics: Consumer Studies","GCSE Home Econ Consumer Stud","24 Jul 2006",""
"B1520223","GCSE Industrial Control/Monitoring","GCSE Ind Cont/ Mntr","24 Jul 2006",""
"B1520224","GCSE Typewriting","GCSE Typw","24 Jul 2006",""
"B1520225","GCSE Law","GCSE Law","24 Jul 2006",""
"B1520226","GCSE Office Applications","GCSE Office Apps","24 Jul 2006",""
"B1520228","GCSE Production/Operations Management","GCSE Prod/ Ops Mngm","24 Jul 2006",""
"B1520229","GCSE Purchasing/Procurement And Sourcing","GCSE Prchs/ Proc & Sourcing","24 Jul 2006",""
"B1520230","GCSE Marketing and Retail Distribution","GCSE Mkting & Retail Dist","24 Jul 2006",""
"B1520231","GCSE Services to People","GCSE Svc to Pple","24 Jul 2006",""
"B1520233","GCSE","GCSE","24 Jul 2006","30 Sep 2014"
"B1520298","Key Skills - Problem Solving - level 2","KeySkl Prob Solving Lev 2","24 Jul 2006",""
"B1520445","GCSE Business and Food Technology","GCSE Bus & Food Tech","24 Jul 2006",""
"B1520449","GCSE Business Technology","GCSE Bus Tech","24 Jul 2006",""
"B1520455","GCSE Keyboard Applications","GCSE KeyBrd Apps","24 Jul 2006",""
"B1520459","GCSE Robotics","GCSE Robotics","24 Jul 2006",""
"B1520461","GCSE Serving Society","GCSE Serving Soc","24 Jul 2006",""
"B1520510","GCSE in Business Studies and Economics","GCSE in Bus Stud & Econ","11 Dec 2008",""
"B1520511","Principal Learning in Business, Administration and Finance (Level 2) (14-19 Diploma)","Principal Lrn in Bus, Admin & Fin (Lev 2) (14-19 Dip)","24 Sep 2009",""
"B1520512","Higher Diploma in Business, Administration and Finance","Hi Dip Bus, Admin & Fin","01 Sep 2010",""
"B1520513","GCSE in Applied Business (Single Award)","GCSE in Applied Bus (Single Award)","01 Aug 2010",""
"B1530301","GCE A Level Accounting","GCE A Lev Accnt","24 Jul 2006",""
"B1530302","GCE A Level Business Studies","GCE A Lev Bus Stud","24 Jul 2006",""
"B1530304","GCE A Level Industrial Control/Monitoring","GCE A Lev Ind Cont/ Mntr","24 Jul 2006",""
"B1530305","GCE A Level in Law","GCE A Lev in Law","24 Jul 2006",""
"B1530306","GCE A Level Purchasing/Procurement And Sourcing","GCE A Lev Prchs/ Proc & Sourcing","24 Jul 2006",""
"B1530307","GCE A Level Quality And Reliability Management","GCE A Lev Qlty & Rel Mngm","24 Jul 2006",""
"B1530308","GCE A Level Rural/Agricultural Business Organisation","GCE A Lev Rural/ Agric Bus Org","24 Jul 2006",""
"B1530309","GCE A Level Sales Marketing And Distribution","GCE A Lev Sales Mkting & Dist","24 Jul 2006",""
"B1530311","GCE A Level","GCE A Lev","24 Jul 2006","30 Sep 2014"
"B1530312","GCE A2 Level Accounting","GCE A2 Lev Accnt","24 Jul 2006",""
"B1530313","GCE A2 Level Business Studies","GCE A2 Lev Bus Stud","24 Jul 2006",""
"B1530314","GCE A2 Level Law","GCE A2 Lev Law","24 Jul 2006",""
"B1530315","GCE A2 Level","GCE A2 Lev","24 Jul 2006","30 Sep 2014"
"B1530316","GCE AS Level Accounting","GCE AS Lev Accnt","24 Jul 2006",""
"B1530317","GCE AS Level Business Studies","GCE AS Lev Bus Stud","24 Jul 2006",""
"B1530318","GCE AS Level Industrial Control/Monitoring","GCE AS Lev Ind Cont/ Mntr","24 Jul 2006",""
"B1530319","GCE AS Level Law","GCE AS Lev Law","24 Jul 2006",""
"B1530321","GCE AS Level Motor Trade Operations","GCE AS Lev Motor Trade Ops","24 Jul 2006",""
"B1530322","GCE AS Level Production/Operations Management","GCE AS Lev Prod/ Ops Mngm","24 Jul 2006",""
"B1530323","GCE AS Level Purchasing/Procurement And Sourcing","GCE AS Lev Prchs/ Proc & Sourcing","24 Jul 2006",""
"B1530324","GCE AS Level Rural/Agricultural Business Organisation","GCE AS Lev Rural/ Agric Bus Org","24 Jul 2006",""
"B1530325","GCE AS Level Sales Marketing And Distribution","GCE AS Lev Sales Mkting & Dist","24 Jul 2006",""
"B1530326","GCE AS Level","GCE AS Lev","24 Jul 2006","30 Sep 2014"
"B1530361","Key Skills - Problem Solving - level 3","KeySkl Prob Solving Lev 3","24 Jul 2006",""
"B1530603","GCE A Level Constitutional Law","GCE A Lev Constitutional Law","24 Jul 2006",""
"B1530604","GCE A2 Level in Applied Business","GCE A2 Lev in Applied Bus","24 Jul 2006",""
"B1530642","GCE A Level in Applied Business (Double Award)","GCE A Lev in Applied Bus (Double Award)","01 Jul 2007",""
"B1530643","GCE AS Level in Applied Business (Double Award)","GCE AS Lev in Applied Bus (Double Award)","01 Jul 2007",""
"B1530656","Principal Learning in Business, Administration and Finance (Level 3) (14-19 Diploma)","Principal Lrn in Bus, Admin & Fin (Lev 3) (14-19 Dip)","24 Sep 2009",""
"B1530657","GCE AS Level in Applied Business","GCE AS Lev in Applied Bus","22 Jan 2010",""
"B1530658","Progression Diploma in Business, Administration and Finance (14-19 Diploma)","Prg Dip Bus, Admin & Fin (14-19 Dip)","01 Sep 2010",""
"B1530659","Advanced Diploma in Business, Administration and Finance (14-19 Diploma)","Adv Dip Bus, Admin & Fin (14-19 Dip)","01 Sep 2010",""
"B1530660","Essential Digital Skills","EssDigSkills","01 Aug 2019",""
"B1540080","Key Skills - Problem Solving - level 4","KeySkl Prob Solving Lev 4","24 Jul 2006",""
"B15H0244","Key Skills - Problem Solving - level 4","KeySkl Prob Solving Lev 4","24 Jul 2006",""
"B15M0008","Key Skills - Problem Solving - level 4","KeySkl Prob Solving Lev 4","24 Jul 2006",""
"B15M0009","Key Skills - Problem Solving - level 5","KeySkl Prob Solving Lev 5","24 Jul 2006",""
"B15X0197","Key Skills - Problem Solving - level 4","KeySkl Prob Solving Lev 4","24 Jul 2006",""
